x,CL = 0.700,Ideal,CL = 0.500,CL = 0.300,CL = 0.150
0.0305,,3.50001,3.06461,2.98326,2.72311
0.0306,,3.49613,3.06295,2.97975,2.71998
0.0307,,3.49219,3.06118,2.9761,2.71704
0.0308,,3.48818,3.0593,2.9723,2.71422
0.0309,,3.4841,3.0573,2.96837,2.71148
0.031,,3.47996,3.05519,2.96433,2.70879
0.0311,,3.47577,3.05295,2.96018,2.70612
0.0312,,3.47153,3.0506,2.95596,2.70345
0.0313,,3.46724,3.04814,2.95169,2.70076
0.0314,,3.46292,3.04557,2.94739,2.69804
0.0315,,3.45856,3.04291,2.94308,2.69528
0.0316,,3.45418,3.04018,2.93882,2.69244
0.0317,,3.44979,3.03738,2.93462,2.68951
0.0318,,3.44539,3.03454,2.93053,2.68647
0.0319,,3.441,3.03166,2.92657,2.68329
0.032,,3.43663,3.02877,2.92277,2.67991
0.0321,,3.43231,3.02588,2.9191,2.67633
0.0322,,3.42804,3.02299,2.91556,2.67253
0.0323,,3.42387,3.02009,2.91212,2.66854
0.0324,,3.4198,3.01721,2.90876,2.66437
0.0325,,3.41586,3.01434,2.90546,2.66005
0.0326,,3.41206,3.01148,2.90222,2.65565
0.0327,,3.40841,3.00864,2.899,2.6512
0.0328,,3.4049,3.00582,2.89578,2.64678
0.0329,2.63063,3.40154,3.00302,2.89256,2.64244
0.033,2.64181,3.39832,3.00026,2.88929,2.63824
0.0331,2.65307,3.39523,2.99752,2.88596,2.63422
0.0332,2.66446,3.39225,2.99481,2.88254,2.63037
0.0333,2.67608,3.38937,2.99214,2.87899,2.62667
0.0334,2.6881,3.38659,2.98951,2.87529,2.62312
0.0335,2.70099,3.38388,2.98692,2.87146,2.61969
0.0336,2.71503,3.38122,2.98438,2.86753,2.61638
0.0337,2.72676,3.37861,2.98188,2.86352,2.61318
0.0338,2.7355,3.37602,2.97943,2.85948,2.61009
0.0339,2.74278,3.37345,2.97704,2.85543,2.60708
0.034,2.74931,3.37089,2.97469,2.85143,2.60417
0.0341,2.75529,3.36834,2.97239,2.84749,2.60135
0.0342,2.76079,3.36579,2.97014,2.84366,2.59861
0.0343,2.76588,3.36322,2.96791,2.83996,2.59594
0.0344,2.77059,3.36064,2.96572,2.83639,2.59335
0.0345,2.77496,3.35804,2.96355,2.83299,2.59079
0.0346,2.77901,3.35541,2.9614,2.82974,2.58827
0.0347,2.78277,3.35275,2.95927,2.82661,2.58575
0.0348,2.78624,3.35005,2.95714,2.82358,2.58322
0.0349,2.78945,3.3473,2.95502,2.82062,2.58065
0.035,2.79242,3.3445,2.9529,2.81773,2.57802
0.0351,2.79514,3.34164,2.95077,2.81487,2.57532
0.0352,2.79764,3.33871,2.94863,2.81204,2.57251
0.0353,2.79992,3.33571,2.94647,2.80923,2.56957
0.0354,2.802,3.33262,2.9443,2.80641,2.56648
0.0355,2.80387,3.32946,2.9421,2.80358,2.5632
0.0356,2.80555,3.32621,2.93987,2.80071,2.55975
0.0357,2.80707,3.3229,2.93761,2.7978,2.55614
0.0358,2.80844,3.31951,2.93532,2.79482,2.55241
0.0359,2.80969,3.31604,2.93299,2.79175,2.5486
0.036,2.81081,3.31251,2.93061,2.78858,2.54474
0.0361,2.81182,3.30891,2.92819,2.7853,2.54087
0.0362,2.81274,3.30524,2.92573,2.78192,2.53702
0.0363,2.81358,3.30151,2.92323,2.77844,2.53323
0.0364,2.81433,3.29772,2.92069,2.7749,2.52954
0.0365,2.81501,3.29387,2.91812,2.77129,2.52598
0.0366,2.81563,3.28996,2.91551,2.76764,2.52258
0.0367,2.81619,3.28601,2.91287,2.76396,2.51935
0.0368,2.81669,3.28201,2.9102,2.76029,2.51625
0.0369,2.81714,3.27797,2.9075,2.75664,2.51327
0.037,2.81755,3.27389,2.90478,2.75303,2.51037
0.0371,2.81791,3.2698,2.90203,2.74947,2.50753
0.0372,2.81824,3.2657,2.89925,2.74598,2.50473
0.0373,2.81853,3.26162,2.89645,2.74256,2.50194
0.0374,2.8188,3.25758,2.89364,2.7392,2.49913
0.0375,2.81903,3.2536,2.8908,2.73591,2.49629
0.0376,2.81925,3.2497,2.88794,2.73267,2.49337
0.0377,2.81944,3.24589,2.88507,2.72949,2.49034
0.0378,2.81961,3.24217,2.88218,2.72635,2.48716
0.0379,2.81977,3.23855,2.87928,2.72326,2.48383
0.038,2.81992,3.23503,2.87637,2.72021,2.48037
0.0381,2.82006,3.23161,2.87344,2.7172,2.47682
0.0382,2.82019,3.22827,2.87051,2.71424,2.47321
0.0383,2.82032,3.22502,2.86756,2.71131,2.4696
0.0384,2.82045,3.22185,2.86461,2.70842,2.46602
0.0385,2.82057,3.21875,2.86166,2.70556,2.46251
0.0386,2.82069,3.21571,2.8587,2.70274,2.45912
0.0387,2.82079,3.21272,2.85574,2.69995,2.45587
0.0388,2.82087,3.20978,2.85279,2.69719,2.45279
0.0389,2.82092,3.20687,2.84985,2.69444,2.44986
0.039,2.82095,3.204,2.84692,2.69171,2.44707
0.0391,2.82095,3.20115,2.844,2.68899,2.44439
0.0392,2.8209,3.19833,2.8411,2.68627,2.4418
0.0393,2.82082,3.19553,2.83821,2.68354,2.43928
